Activity,Cluster_Region,Source_Year,n,estimate,cv_approx,annual_pass
Exercise/fitness,Upper limb,2020,1276,46700.0,0.09173044798606092,True
Exercise/fitness,Trunk/spine,2020,2330,94300.0,0.14407734688492202,True
Exercise/fitness,Lower limb,2020,2715,102900.0,0.0949109765950311,True
Exercise/fitness,Other/systemic,2020,542,22300.0,0.1969960512043342,True
Football,Head/neck,2020,800,20600.0,0.1537456571933133,True
Football,Upper limb,2020,1900,52400.0,0.13385103667561504,True
Football,Trunk/spine,2020,334,9800.0,0.16139349338041478,True
Football,Lower limb,2020,1264,36500.0,0.15484465114582419,True
Football,Other/systemic,2020,59,2300.0,0.2763438080678891,True
Soccer,Head/neck,2020,582,15200.0,0.16594068777476798,True
Soccer,Upper limb,2020,908,21800.0,0.1959170414433264,True
Soccer,Trunk/spine,2020,255,6300.0,0.22107523647157976,True
Soccer,Lower limb,2020,1398,37400.0,0.1783954330243175,True
Soccer,Other/systemic,2020,28,,0.26884083245811635,False
Swimming/diving,Head/neck,2020,2021,68300.0,0.3193478704830121,True
Swimming/diving,Upper limb,2020,324,12400.0,0.1733595193215939,True
Swimming/diving,Trunk/spine,2020,334,13900.0,0.2375991091491399,True
Swimming/diving,Lower limb,2020,639,21900.0,0.18490944080560323,True
Swimming/diving,Other/systemic,2020,394,11900.0,0.31742556596208893,True
Baseball/softball,Head/neck,2020,892,25000.0,0.11415249572014587,True
Baseball/softball,Upper limb,2020,593,20300.0,0.13892612418261213,True
Baseball/softball,Trunk/spine,2020,158,6000.0,0.19424998303295957,True
Baseball/softball,Lower limb,2020,437,16500.0,0.14575150595047467,True
Baseball/softball,Other/systemic,2020,42,1800.0,0.3001811545180472,True
Weight training,Head/neck,2020,246,8500.0,0.14667678178773347,True
Weight training,Upper limb,2020,571,21900.0,0.10927378743388616,True
Weight training,Trunk/spine,2020,564,21500.0,0.11816735046011077,True
Weight training,Lower limb,2020,323,11300.0,0.1586402394632625,True
Weight training,Other/systemic,2020,38,1400.0,0.24583527268244817,True
Other sport/recreation,Head/neck,2020,250,7100.0,0.17132276428861054,True
Other sport/recreation,Upper limb,2020,387,11900.0,0.1727097023054586,True
