Age_Display,Source_Year,n,estimate,cv_approx,annual_pass
1,2022,135,,0.3899985363361483,False
2,2022,202,,0.4169266717614768,False
3,2022,253,,0.3429354829521723,False
4,2022,287,8300.0,0.2475030912302703,True
5,2022,422,11800.0,0.2641671975490407,True
6,2022,581,17200.0,0.21394997721914472,True
7,2022,818,22100.0,0.23409921337538184,True
8,2022,1035,29100.0,0.19050059620134338,True
9,2022,1292,36200.0,0.19168874643893583,True
10,2022,1674,47000.0,0.20747157565963908,True
11,2022,2070,57400.0,0.18167600077277574,True
12,2022,2582,70100.0,0.1520017041178506,True
13,2022,3157,91400.0,0.14521314687476336,True
14,2022,3363,101100.0,0.14835880727935138,True
15,2022,3073,96000.0,0.1409104609770539,True
16,2022,2754,87900.0,0.13647245265290545,True
17,2022,2309,76900.0,0.12408479988183552,True
18,2022,1270,48900.0,0.1201793491089282,True
19,2022,892,37900.0,0.11142300693625526,True
20,2022,789,33800.0,0.12576129959610144,True
21,2022,705,30300.0,0.1347114027157839,True
22,2022,632,26100.0,0.11245552525758462,True
23,2022,505,20600.0,0.0998468409150632,True
24,2022,491,21400.0,0.10435017674978019,True
25,2022,442,17800.0,0.1216349376303766,True
26,2022,439,18600.0,0.10092683068612734,True
27,2022,383,16100.0,0.09714848166074982,True
28,2022,422,17900.0,0.10791031023268238,True
29,2022,380,15900.0,0.10512846678146191,True
30,2022,327,13400.0,0.1182326355602989,True
31,2022,332,14400.0,0.09724326084445828,True
32,2022,336,14400.0,0.11367655745535804,True
33,2022,325,13600.0,0.10905703737252839,True
34,2022,304,13900.0,0.12368846125305276,True
35,2022,282,12900.0,0.10838584432915153,True
36,2022,247,10300.0,0.12271242082346026,True
37,2022,218,9300.0,0.12115714906652508,True
38,2022,218,9800.0,0.1293443800113657,True
39,2022,228,9400.0,0.12106836154340406,True
40,2022,189,8800.0,0.1349904568256725,True
41,2022,244,11600.0,0.13857133889004564,True
42,2022,211,9300.0,0.13749451869020152,True
43,2022,183,8100.0,0.13700599830029497,True
44,2022,151,7100.0,0.1646700249897074,True
45,2022,159,6900.0,0.15232714273013817,True
46,2022,156,7000.0,0.13524311878883527,True
47,2022,162,6700.0,0.1437995077050954,True
48,2022,130,6000.0,0.12424709022446623,True
49,2022,121,6200.0,0.12466092248872163,True
50,2022,137,6500.0,0.14629278545338445,True
51,2022,139,6300.0,0.1615122028376913,True
52,2022,142,7100.0,0.1490744064112644,True
53,2022,127,5800.0,0.14213647384663175,True
54,2022,124,5300.0,0.16547332874961881,True
55,2022,107,4900.0,0.163308908834952,True
56,2022,112,5400.0,0.17532102202400224,True
57,2022,121,6400.0,0.15645477091798538,True
58,2022,117,6100.0,0.157426515485673,True
59,2022,115,6200.0,0.16725442703533605,True
60,2022,113,5500.0,0.21792986068359893,True
61,2022,118,6100.0,0.1538968935722298,True
62,2022,108,5200.0,0.1685420526514626,True
63,2022,116,6500.0,0.1735944841330251,True
64,2022,127,6200.0,0.1994755942235223,True
65,2022,110,5700.0,0.18170396390901347,True
66,2022,111,5600.0,0.19196387906723683,True
67,2022,117,6000.0,0.20703458145477235,True
68,2022,109,6200.0,0.2502243931413051,True
69,2022,86,4700.0,0.2606906738322855,True
70,2022,94,5500.0,0.25515933756199743,True
71,2022,92,4800.0,0.23514902003446542,True
72,2022,90,5000.0,0.26143611134102995,True
73,2022,94,5400.0,0.3084656517671634,True
74,2022,93,4900.0,0.26258082538995775,True
75,2022,93,5500.0,0.31009960356168925,True
76,2022,50,3300.0,0.25714826856404677,True
77,2022,51,2900.0,0.3079841437088306,True
78,2022,62,,0.36159691225517754,False
79,2022,60,3600.0,0.21567859907840561,True
80,2022,56,2900.0,0.2615882768651009,True
81,2022,69,,0.363001181582924,False
82,2022,28,1700.0,0.26785584333204565,True
83,2022,28,1500.0,0.24570666925240264,True
84,2022,29,1400.0,0.2706785469535387,True
85,2022,38,1900.0,0.24514045504976656,True
86,2022,16,,0.27201633170773243,False
87,2022,22,,0.3801136772557365,False
88,2022,17,,0.30725606206545525,False
89,2022,10,,0.36836557576444007,False
90,2022,57,2900.0,0.2748057214864706,True
0,2023,33,,0.3974554578678366,False
1,2023,116,3600.0,0.22062852499110505,True
2,2023,213,6400.0,0.2632048920429285,True
3,2023,239,,0.33639191098803056,False
4,2023,267,7700.0,0.27466153219944356,True
5,2023,405,12700.0,0.2544453277548021,True
6,2023,582,15600.0,0.23280766300615904,True
7,2023,810,22200.0,0.1929763521568346,True
8,2023,1135,32800.0,0.1796578849241461,True
9,2023,1441,37300.0,0.14693826664831489,True
10,2023,1816,53100.0,0.1762306310279939,True
11,2023,2245,63000.0,0.14343208523231174,True
12,2023,2574,73500.0,0.1377839986070454,True
13,2023,3105,89300.0,0.12501533547005478,True
14,2023,3174,92700.0,0.11472238949004407,True
15,2023,3212,100800.0,0.13428669504439897,True
16,2023,3017,94100.0,0.11573489673011199,True
17,2023,2465,83000.0,0.11468763999543907,True
18,2023,1352,50500.0,0.08824638935943828,True
19,2023,942,37000.0,0.12057957177876198,True
20,2023,880,35400.0,0.13889271883657692,True
21,2023,714,31000.0,0.10437900276446681,True
22,2023,646,24900.0,0.10455057307598882,True
23,2023,594,24400.0,0.09766599522832713,True
24,2023,544,21100.0,0.08643743362037408,True
25,2023,468,18100.0,0.09845527574867731,True
